id,question
21,What is the page count of the book 'Snow Crash'?
21,Which publisher released the book 'Snow Crash' in 1992?
21,"What is the target audience for readers according to the metadata, and what type of content does it specify?"
21,"How would you describe the writing style of Neal Stephenson in the book 'Snow Crash', and what aspects of technical knowledge does it incorporate?"
21,In which technological field(s) or environment(s) is the virtual Metaverse highlighted as a significant aspect of the story?
23,What is the publication year of 'The Three-Body Problem'?
23,The series position where this book fits within the 'Remembrance of Earth's Past' series.
23,"Which subgenres categorize this book: Hard SF, First-contact SF, and Astrophysical SF?"
23,What are the themes explored in this novel?
23,How many pages does the book have?
24,"What is the publication year of the book 'The Dark Forest', and who published it?"
24,"How many pages does the book 'The Dark Forest' contain, and what was its original language?"
24,"In which series position does the book 'The Dark Forest' fit, and how would you describe its target audience?"
24,"What is the technology focus of the book 'The Dark Forest', and are there any content warnings that readers should be aware of?"
24,"How many books are in the 'Remembrance of Earth's Past' series, and what genre classification does the book 'The Dark Forest' fall under?"
25,Who is the author of the book 'Death's End'?
25,How many pages does the book contain?
25,What is the publication year of the book?
25,In what series position does 'Death's End' fit within?
25,What are some of the subgenres associated with this book?
26,What is the publication year of the book 'Ringworld'?
26,In what subgenres is the book 'Ringworld' classified?
26,How many pages does the book 'Ringworld' contain?
26,Who is the author of the book 'Ringworld'?
26,What type of technology does the book 'Ringworld' focus on?
27,What is the publication year of the book 'The Mote in God's Eye'?
27,Who co-authored the book 'The Mote in God's Eye'?
27,In what series position does the book 'The Mote in God's Eye' sit?
27,How many pages are in the book 'The Mote in God's Eye'?
27,What is the target audience for the book 'The Mote in God's Eye'?
28,What is the publication year of the book Altered Carbon?
28,In what position is the book Altered Carbon part of a series?
28,Who is the target audience for the book Altered Carbon?
28,How many pages are in the edition of Altered Carbon?
28,What genre categorizations does the book Altered Carbon belong to?
29,What is the publication year of the book 'Revelation Space'?
29,Which two subgenres are associated with the book 'Revelation Space'?
29,What is the page count of the book 'Revelation Space'?
29,Who is the author of the book 'Revelation Space'?
29,What type of technology does the book 'Revelation Space' focus on?
30,What is the publication year of the book 'Chasm City'?
30,Who wrote the book 'Chasm City'?
30,In what position is 'Chasm City' located within the Revelation Space universe series?
30,How many pages does the book 'Chasm City' contain?
30,For which target audience is the book 'Chasm City' primarily intended?
31,What is the publication year of Perdido Street Station?
31,Who is the author of the book Perdido Street Station?
31,"In what series does the book Perdido Street Station belong, and what is its position within the series?"
31,What are the primary subgenres associated with the book Perdido Street Station?
31,At what page count can readers find Perdido Street Station?
32,What is the page count of the book 'The Scar'?
32,Who is the author of the book 'The Scar' and what is the series it belongs to?
32,In which year was the book 'The Scar' published?
32,"What type of content warnings does the book 'The Scar' have, according to its metadata?"
32,At what position in the Bas-Lag / New Crobuzon series does 'The Scar' fall?
33,What is the publication year of the book 'Iron Council'?
33,Which publisher released 'Iron Council' in 2004?
33,Who is the author of the book 'Iron Council'?
33,What genre classification would you categorize the themes of 'Iron Council' under?
33,How many pages are in the hardcover edition of 'Iron Council'?
34,What is the publication year of this book?
34,How many pages does this book contain?
34,Who is the author of 'American Gods'?
34,What is the target audience for readers of 'American Gods'?
34,In what subgenres can the book 'American Gods' be classified?
35,What are the subgenres associated with this book?
35,"For which series is this book considered a part of, and what position does it hold?"
35,"How many pages are in this book, according to its metadata?"
35,"In what year was this book first published, as indicated by its metadata?"
35,"Who is the publisher that released this book, and how do they collaborate with HarperCollins?"
36,What is the publication year of the book Good Omens?
36,"Which publisher released the book Good Omens, and what is their respective imprint?"
36,How many pages does the book Good Omens have?
36,What are the target audience for readers of the book Good Omens?
36,"What is the estimated page count range of books in this series, given that Good Omens is at position 0?"
37,What is the publication year of the book Small Gods?
37,What is the page count of the book Small Gods?
37,For what target audience is the book Small Gods intended?
37,In which series position does the book Small Gods fall within?
37,What are some of the subgenres associated with the book Small Gods?
38,Who is the author of 'The Colour of Magic'?
38,What is the publication year of the book 'The Colour of Magic'?
38,In what position does 'The Colour of Magic' sit within the Discworld series?
38,"What are the subgenres associated with 'The Colour of Magic', and how would you categorize them?"
38,Who is the target audience for reading 'The Colour of Magic' as recommended by the publisher?
38,What is the page count of 'The Colour of Magic'?
39,What is the publication year of the book 'Guards! Guards!'?
39,"Who is the author of the Discworld series, to which 'Guards! Guards!' belongs?"
39,In what position does 'Guards! Guards!' stand within the Discworld series?
39,"What are some of the subgenres associated with 'Guards! Guards!', according to the book's metadata?"
39,At what page count is the book 'Guards! Guards!' printed?
40,What is the title of the book and who is its author?
40,In which position within a series does 'The Lies of Locke Lamora' stand?
40,"What genres and themes are primarily associated with this book, according to the metadata?"
40,"How many pages long is the book, as stated in the publication information?"
40,"For what type of audience is the book targeted, based on the provided metadata?"
41,What is the publication year of the book Red Seas Under Red Skies?
41,Who is the author of this book and which series does it belong to?
41,How many pages does the book have?
41,To what target audience is the book primarily aimed at?
41,In what subgenres can the book be classified?
42,What is the title of the book being evaluated?
42,"Who is the author of the book, and what series does it belong to?"
42,In what position is The Republic of Thieves within its respective series?
42,"Which subgenres categorize The Republic of Thieves, and how many are present?"
42,What themes are central to understanding the book's content?
43,"What is the publication year of the book ""The Blade Itself""?"
43,Who is the author of this book?
43,"In what position is 'The Blade Itself' placed within its series, ""First Law""?"
43,How many pages are in the edition of 'The Blade Itself'?
43,At what pace does the reading of 'The Blade Itself' generally fall?
44,What is the publication year of the book?
44,"Who is the author of this book, and what is the series it belongs to?"
44,"How many pages does the book contain, and what type of content warnings should readers be aware of?"
44,"In which subgenres does this fantasy novel belong, and to what extent does it focus on technology?"
44,What are some of the key themes explored in this epic fantasy novel?
45,What is the publication year of the book 'Last Argument of Kings'?
45,How many pages does the book 'Last Argument of Kings' contain?
45,Which publisher released the book 'Last Argument of Kings'?
45,For which age group is the target audience of the book 'Last Argument of Kings'?
45,What are the primary subgenres associated with the book 'Last Argument of Kings'?
46,What is the publication year of the book The Gunslinger?
46,Who is the author of the book The Gunslinger?
46,In what position is The Gunslinger within its respective series?
46,How many pages are in the book The Gunslinger?
46,By which publisher was The Gunslinger initially released?
47,What is the position of this book within its series?
47,What are some of the subgenres associated with this book?
47,At what page count was this book published?
47,Who is the publisher of this book's initial publication edition?
47,In what year was this book first released?
48,What is the series position of the book within its overall series?
48,"Which subgenres are commonly associated with this book, and how would you categorize them?"
48,"To what extent does the publication year influence the content or themes of this book, according to available metadata?"
48,"How does the target audience for this book align with its content and themes, as indicated by metadata?"
48,What tone can be inferred from the publisher's description of the writing style used in this book?
49,What is the page count of the book 'Wizard and Glass'?
49,In what year was the book 'Wizard and Glass' published by Grant?
49,Who is the target audience for the book 'Wizard and Glass'?
49,What are the primary themes present in the book 'Wizard and Glass'?
49,"What type of setting does Roland's story take place within, as described in the summary?"
50,"What is the page count of the book, and was it published by a single publisher or multiple publishers?"
50,"In what year was this book first published, and which subgenres does it belong to?"
50,"Who is the target audience for this book, and what is its estimated age range?"
50,"How would you describe the tone of the book, and are there any specific themes explored in the story?"
50,"Is there a particular type of technology that is emphasized or featured within the narrative, such as communication media or period-appropriate tools?"
51,What is the publication year of The Stand?
51,Who is the author of the book The Stand?
51,The Stand is classified under which subgenres?
51,What is the estimated page count of the book?
51,In what year was the book The Stand published by Doubleday?
52,What is the publication year of the book Dracula?
52,Who is the author of the book Dracula?
52,What type of writing style was used by Bram Stoker in Dracula?
52,In what setting does the majority of the story take place?
52,What are some subgenres that describe the book Dracula?
55,What is the estimated number of pages in this book?
55,In what year was this dystopian novel first published?
55,Who is the author of this classic work of political fiction?
55,What are the main themes explored in this totalitarian state novel?
55,Is this book suitable for readers under 18 years old?
56,What is the publication year of Fahrenheit 451?
56,Who is the author of Fahrenheit 451?
56,How many pages does the book Fahrenheit 451 have?
56,In what type of future setting is the story of Fahrenheit 451 set?
56,Is Fahrenheit 451 targeted towards a specific audience?
57,What is the publication year of 'Something Wicked This Way Comes'?
57,Who is the author of the book 'Something Wicked This Way Comes'?
57,What is the target audience for the book 'Something Wicked This Way Comes'?
57,What genre categories does the book 'Something Wicked This Way Comes' belong to?
57,"Is there a series that includes the book 'Something Wicked This Way Comes', and if so, what is its position within the series?"
58,What is the page count of this book?
58,Which publisher released 'The Martian'?
58,In what year was 'The Martian' first published?
58,Who is the author of 'The Martian'?
58,Is 'The Martian' a part of any series?
59,What is the author of the book 'Project Hail Mary'?
59,In what year was the book 'Project Hail Mary' published by Ballantine Books?
59,Who is the target audience for the book 'Project Hail Mary'?
59,How many pages does the book 'Project Hail Mary' have in total?
59,What are the primary subgenres of the book 'Project Hail Mary'?
61,What is the publication year of the book 'Abaddon's Gate'?
61,"Who is the author of the book series 'The Expanse', which includes 'Abaddon's Gate'?"
61,"In what position does 'Abaddon's Gate' stand within its respective series, 'The Expanse'?"
61,What are the primary subgenres associated with the book 'Abaddon's Gate'?
61,What is the approximate page count of the book 'Abaddon's Gate'?
62,"What is the publication year of 'Cibola Burn', and was it published by a major publisher?"
62,"In what position does 'Cibola Burn' stand within The Expanse series, and by whom was it written?"
62,"What are the subgenres associated with 'Cibola Burn', and how does its target audience fit into this classification?"
62,"How many pages does 'Cibola Burn' contain, and was it originally published as a hardcover book?"
62,"Is there a notable focus on terraforming or conflict technology in 'Cibola Burn', and if so, is it the primary technology focus of The Expanse series?"
65,What is the publication year of the book 'Tiamat's Wrath'?
65,How many pages does the book 'Tiamat's Wrath' contain?
65,In what series position does 'Tiamat's Wrath' stand among the books in The Expanse series?
65,"Who is the author of the book 'Tiamat's Wrath', and what genre does the book belong to?"
65,What are some content warnings that readers should be aware of while reading 'Tiamat's Wrath'?
66,"Is this book part of a series, and if so, what is the position of this book within that series?"
66,This book's subgenres include which specific categories?
66,"What are the major themes explored in this book, according to its metadata?"
66,The page count of this book is
66,This book was published by
66,Is this book primarily intended for a young adult audience?
67,What is the publication year of the book 'Storm Front'?
67,What genre category does the book 'Storm Front' belong to?
67,Who is the target audience for reading 'Storm Front'?
67,What type of narrative style is used by the author Jim Butcher in 'Storm Front'?
67,What theme or subject matter is explicitly stated as a major concern in the book 'Storm Front'?
68,What is the publication year of the book 'Fool Moon'?
68,In what series position does 'Fool Moon' fit within the Dresden Files?
68,How many pages are in the hardcover edition of 'Fool Moon'?
68,Who is the target audience for the adult fantasy readers of 'Fool Moon'?
68,What are some of the subgenres associated with 'Fool Moon'?
69,What is the publication year of the book 'Grave Peril'?
69,"In what position does the book 'Grave Peril' sit within its series, The Dresden Files?"
69,What are the primary genres associated with the book 'Grave Peril'?
69,How many pages does the book 'Grave Peril' have?
69,Who is the author of the book 'Grave Peril'?
70,What is the series position of the book within The Dresden Files series?
70,Who is the author of the book Summer Knight?
70,What is the publication year of the book Summer Knight?
70,In what subgenres can the book Summer Knight be classified?
70,How many pages are in the book Summer Knight?
71,What is the publication year of 'Blood Rites'?
71,In what series position does 'Blood Rites' fall within?
71,How many pages are in the book 'Blood Rites'?
71,Who is the author of the book 'Blood Rites'?
71,What type of setting is present in 'Blood Rites'?
72,What is the position of 'Dead Beat' within 'The Dresden Files' series?
72,In what year was 'Dead Beat' published?
72,How many pages does the book 'Dead Beat' have?
72,"Who is the target audience for 'Dead Beat', according to its metadata?"
72,"What type of technology focus is present in 'Dead Beat', as described by its author's intent?"
73,What is the series position of 'Proven Guilty' within The Dresden Files?
73,"Who is the author of 'Proven Guilty', and what is the publication year of this book?"
73,"How many pages are in the book 'Proven Guilty', and what is its target audience?"
73,"In which subgenres is 'Proven Guilty' categorized, and what themes does it explore?"
73,"What type of setting does 'Proven Guilty' have, as described by the author?"
74,What is the publication year of the book 'Changes'?
74,"Who is the author of the book 'Changes', and what is the series position within The Dresden Files?"
74,"How many pages does the book 'Changes' contain, and in what subgenres is it classified?"
74,"What are the primary themes present in the book 'Changes', as stated by the author?"
74,"What type of tone can be expected from reading the book 'Changes', according to its metadata?"
76,What is the publication year of 'The Hunger Games'?
76,Who is the author of 'The Hunger Games' and what is the series position?
76,How many pages does the book 'The Hunger Games' contain?
76,In what genres is 'The Hunger Games' primarily classified?
76,Is the target audience for 'The Hunger Games' specifically defined as young adult readers?
77,What is the publication year of the book 'Catching Fire'?
77,Who is the author of the series and book 'Catching Fire'?
77,In what position does the book 'Catching Fire' fall within its respective series?
77,What are some subgenres associated with the book 'Catching Fire'?
77,How many pages does the book 'Catching Fire' have?
79,What is the number of pages in the book Divergent?
79,In what year was the book Divergent published?
79,Who is the author of the book Divergent?
79,"How many books are part of the Divergent Trilogy series, and what is their order?"
79,Which subgenres does the book Divergent belong to?
80,What is the page count of the book 'Insurgent'?
80,Who is the author of the book 'Insurgent' and what genre(s) does she write in?
80,What series does the book 'Insurgent' belong to and its position within that series?
80,In what year was the book 'Insurgent' published and by which publisher?
80,What are some content warnings associated with reading this young adult dystopian novel?
81,What is the publication year of the book Allegiant?
81,How many pages does the book Allegiant have?
81,"For which series, as part of which position, was Allegiant published?"
81,Which subgenres categorize Allegiant in terms of genre classification?
81,What are some of the themes explored in the book Allegiant?
82,What is the page count of the book Annihilation?
82,In what year was the book Annihilation published?
82,For which audience is the book Annihilation primarily intended?
82,How would you describe the tone of the book Annihilation?
82,"What type of technology are featured in the setting of Area X, as described in the book's metadata?"
83,What is the publication year of the book 'Authority'?
83,Who is the author of the book 'Authority'?
83,What series does the book 'Authority' belong to and its position in the series?
83,Are there any content warnings for the book 'Authority' that include psychological distress?
83,What is the estimated page count of the book 'Authority'?
85,What is the publication year of this book?
85,For what audience is this book primarily intended?
85,How many pages does this book have?
85,Who is the author of this book?
85,In what genre does 'The City & The City' belong?
86,What is the number of pages in the book 'World War Z'?
86,Who is the author of the book 'World War Z'?
86,How many series positions does the book 'World War Z' hold?
86,What are the subgenres associated with the book 'World War Z'?
86,What type of writing style is used in the book 'World War Z'?
87,What is the page count of 'The Passage'?
87,In what year was 'The Passage' published?
87,Who is the author of 'The Passage'?
87,What type of genre classification would you categorize 'The Passage' under? (Select all that apply)
87,Is 'The Passage' considered a target audience for adult/speculative readers only?
88,What is the publication year of 'The Twelve'?
88,How many pages does the book 'The Twelve' contain?
88,Who is the author of 'The Twelve'?
88,In what position is 'The Twelve' within The Passage Trilogy?
88,What are the genres associated with 'The Twelve'?
89,What is the publication year of The City of Mirrors?
89,"Who is the author of The Passage Trilogy, and what is the position of this book within the series?"
89,In what genre categories is The City of Mirrors classified?
89,What themes are explored in The City of Mirrors according to the provided metadata?
89,What type of technology focus can be found in the post-apocalyptic world of The City of Mirrors?
90,What is the publication year of The Silmarillion?
90,Who is the author of The Silmarillion and what is the name of the series they belong to?
90,How many pages does the book contain?
90,"For which target audience was The Silmarillion published, and by whom?"
90,What are some of the key themes explored in The Silmarillion?
93,What is the publication year of the book 'The Eye of the World'?
93,What genre classification best describes 'The Wheel of Time' series?
93,In what position within their respective series does 'The Eye of the World' fall?
93,How many pages are contained within the book 'The Eye of the World'?
93,Who is the publisher responsible for releasing 'The Eye of the World' in the United States and the United Kingdom?
94,What is the publication year of the book 'The Great Hunt'?
94,Who is the author of the series 'The Wheel of Time' and the individual book 'The Great Hunt'?
94,In what position does the book 'The Great Hunt' stand within the 'Wheel of Time' series?
94,How many pages are in the book 'The Great Hunt'?
94,What is the target audience for which the book 'The Great Hunt' is recommended?
95,Is The Dragon Reborn part of a series that is considered epic fantasy?
95,What is the page count of The Dragon Reborn?
95,In what year was The Dragon Reborn published?
95,For what target audience is The Dragon Reborn generally recommended?
95,What is the primary focus of technology in this book?
95,Are there any content warnings for this book?
95,Is the writing style used in The Dragon Reborn primarily third-person limited?
95,What are some key themes explored in The Dragon Reborn?
95,What is the tone predominantly associated with The Dragon Reborn?
95,In what subgenres does The Dragon Reborn fall under?
96,What is the series name of this book?
96,Which author wrote The Shadow Rising?
96,In what position is The Shadow Rising within its respective series?
96,How many pages does the book contain?
96,When was The Shadow Rising published?
97,What is the page count of 'The Fires of Heaven'?
97,Which publisher released 'The Fires of Heaven' in the United Kingdom?
97,At what position in its series is 'The Fires of Heaven' published?
97,"What are the subgenres associated with 'The Fires of Heaven', according to the book's metadata?"
97,In what year was 'The Fires of Heaven' originally published?
99,What is the page count of the book 'A Crown of Swords'?
99,In what publication year was 'A Crown of Swords' released?
99,Who is the author of the series and book 'A Crown of Swords'?
99,In which position within the series does 'A Crown of Swords' fall?
99,What subgenres are associated with the book 'A Crown of Swords'?
100,What is the publication year of the book?
100,Who is the author of the book?
100,In what position is the book within its series?
100,How many pages does the book contain?
100,What publisher originally released the book in the United States?
101,"What is the publication year of the book 'Winter's Heart', and which regions it was published in?"
101,"Who is the author of the book 'Winter's Heart', and what genre category does this work fall under?"
101,In what position is 'Winter's Heart' located within The Wheel of Time series?
101,"What are the primary genres associated with the book 'Winter's Heart', and what themes do they commonly explore in epic fantasy works like this one?"
101,"How many pages are there in the book 'Winter's Heart', and to which audience is it primarily targeted?"
102,What is the publication year of the book 'Crossroads of Twilight'?
102,Who is the author of 'Crossroads of Twilight'?
102,How many pages does the book 'Crossroads of Twilight' have?
102,In what year was the book 'Crossroads of Twilight' first published?
102,By whom was the book 'Crossroads of Twilight' originally published?
103,What is the page count of the book 'Knife of Dreams'?
103,Which publisher released 'Knife of Dreams' in the United States and the United Kingdom?
103,In what year was 'Knife of Dreams' published?
103,"For which series does 'Knife of Dreams' belong, and in what position is it within that series?"
103,What genre classification can be associated with the book 'Knife of Dreams'?
104,Is the book 'The Gathering Storm' part of a series?
104,Who are the authors of this book?
104,What is the publication year of 'The Gathering Storm'?
104,What genre categories does the book belong to?
104,How many pages does the book 'The Gathering Storm' have?
105,What is the book title of the 13th installment in The Wheel of Time series?
105,"Who are the co-authors of Towers of Midnight, and what genre(s) does their work belong to?"
105,In what year was Towers of Midnight published by Tor Books and Orbit Books?
105,"How many pages long is the book, Towers of Midnight?"
105,"To whom would you recommend reading Towers of Midnight, as indicated by its target audience?"
106,What is the total page count of book 'A Memory of Light'?
106,Who are the authors credited for 'A Memory of Light'?
106,In what position within the series is 'A Memory of Light' published?
106,Which subgenres categorize 'A Memory of Light'?
106,What are the primary themes explored in 'A Memory of Light'?
108,What is the publication year of Warbreaker?
108,Who is the author of Warbreaker?
108,What is the page count of Warbreaker?
108,In what genre category does Warbreaker primarily belong?
108,To which book series and position is Warbreaker part of?
111,What is the page count of the book 'To Sleep in a Sea of Stars'?
111,Who is the author of the book 'To Sleep in a Sea of Stars'?
111,In what year was the book 'To Sleep in a Sea of Stars' published by Tor Books?
111,What is the target audience for the book 'To Sleep in a Sea of Stars'?
111,How many pages long is the book 'To Sleep in a Sea of Stars'?
112,What is the book's publication year?
112,Who is the author of the book 'Eragon'?
112,In what series does 'Eragon' belong and where is it positioned?
112,What are the primary themes associated with this book?
112,How many pages does the hardcover edition of 'Eragon' contain?
113,What is the title of the second book in The Inheritance Cycle series?
113,Who wrote the book 'Eldest' and what is their occupation?
113,How many pages does the book 'Eldest' contain?
113,In what year was the book 'Eldest' first published?
113,For which age group is the book 'Eldest' primarily intended?
114,What is the page count of the book 'Brisingr'?
114,Who is the author and series position of the book 'Brisingr' within the Inheritance Cycle series?
114,In what year was the book 'Brisingr' published?
114,By which publisher was the book 'Brisingr' originally released?
114,What type of technology plays a significant role in the world of 'Brisingr'?
115,What is the number of pages in the book 'Inheritance'?
115,"Which series does the book 'Inheritance' belong to, and what position is it in that series?"
115,For which target audience is the book 'Inheritance' primarily intended?
115,"How would you describe the tone of the book 'Inheritance', as classified by the publisher?"
115,What type of technology focus can be found in the book 'Inheritance'?
116,What is the publication year of the book 'The Sword of Shannara'?
116,Which subgenres are associated with the book 'The Sword of Shannara'?
116,What type of technology focus is prominent in the world of 'The Sword of Shannara'?
116,"Who is the author of the book 'The Sword of Shannara', and what is their series position within the Shannara series?"
116,What is the approximate number of pages in the book 'The Sword of Shannara'?
117,What is the publication year of 'The Elfstones of Shannara'?
117,In what series position does 'The Elfstones of Shannara' fall within?
117,How many pages does the book contain?
117,Who is the author of 'The Elfstones of Shannara'?
117,What is the target audience for readers of 'The Elfstones of Shannara'?
118,What is the publication year of 'The Wishsong of Shannara'?
118,To what age group is 'The Wishsong of Shannara' primarily targeted?
118,Which magical system drives the narrative of 'The Wishsong of Shannara'?
118,How many pages does the book 'The Wishsong of Shannara' contain?
118,What tone can be described as dominant in the writing style of 'The Wishsong of Shannara'?
119,What is the publication year of Shadows of Self?
119,Who is the author of Shadows of Self?
119,In what position does Shadows of Self sit within the Mistborn series?
119,What genres and themes can be associated with Shadows of Self?
119,How many pages are in the edition of Shadows of Self?
120,"What is the series name of the book Bands of Mourning, and what is its position within the series?"
120,"What genres does the book Bands of Mourning belong to, and which themes are explored through it?"
120,"In what year was the book Bands of Mourning published by Tor Books, and how many pages long is the book?"
120,"Who is the author of the book Bands of Mourning, and what type of technology focus is present in this work?"
120,"What is the target audience for the book Bands of Mourning, and are there any content warnings that readers should be aware of?"
121,What is the publication year of 'The Alloy of Law'?
121,Which publisher released 'The Alloy of Law' to adult fantasy readers?
121,How many pages does the book 'The Alloy of Law' contain?
121,In what position is 'The Alloy of Law' set within Brandon Sanderson's Mistborn Era series?
121,What genre categories are associated with 'The Alloy of Law'?
123,"What is the typical audience for this book, as indicated by the publisher?"
123,How many pages does the book have?
123,In what year was this book first published?
123,How would you describe the tone of the writing style used in this novel?
123,What type of content warnings should readers be aware of when reading this book?
124,What is the publication year of the book?
124,Who is the author of this book?
124,How many pages are in the book?
124,In what year did the series begin?
124,What are some of the subgenres associated with this book?
125,"What is the publication year of the book ""The Time Machine""?"
125,"Who is the author of the book ""The Time Machine"" and what is their occupation?"
125,"What genres does the book ""The Time Machine"" belong to?"
125,"How many pages are in the hardcover edition of ""The Time Machine""?"
125,"In what year was the book ""The Time Machine"" first published?"
127,What is the publication year of 'The Invisible Man'?
127,How many pages does the book 'The Invisible Man' have?
127,Who is the author of 'The Invisible Man'?
127,What type of setting does the book 'The Invisible Man' take place in?
127,What genre(s) categorize the book 'The Invisible Man'?
128,What is the publication year of the book?
128,"Who is the author of the book, and what genre does he belong to?"
128,What are some of the themes explored in this science fiction novel?
128,"How many pages does the book have, and who published it?"
128,What type of content warnings should readers be aware of when reading this book?
130,What is the publication year of the book?
130,"Who are the main characters in the book, and what is their profession?"
130,"How many pages does the book contain, and for which audience is it primarily intended?"
130,"In what tone and style is the book written, and what is the focus of its narrative?"
130,What technological aspects of robotic engineering are explored in this book?
131,What is the publication year of the book 'Roadside Picnic'?
131,Who are the authors of this book?
131,What are some subgenres associated with this book?
131,How many pages does the book have?
131,In what type of zones does the story take place?
132,"Was the book written by two authors, or was it a single author?"
132,What is the publication year of the book in the Soviet Union?
132,In what type of setting does the book take place?
132,What genre categories best describe the book's subgenres?
132,What warning labels would be most suitable for this book based on its content warnings?
133,What is the publication year of the book 'The Power'?
133,Who is the author of the book 'The Power' and what genre does it belong to?
133,In what type of world setting does the book 'The Power' take place?
133,What is the target audience for the book 'The Power' as specified by the publisher?
133,How many pages does the book 'The Power' have?
134,What is the page count of the book 'The Handmaid's Tale'?
134,Who is the author of the novel 'The Handmaid's Tale'?
134,In what type of genre does the book 'The Handmaid's Tale' primarily belong?
134,For which audience is the book 'The Handmaid's Tale' generally recommended?
